Title,Link,CompanyName,Location,PostDate,JobType,YearsofExp,Skills
"Data Science Instructor","https://wuzzuf.net/jobs/p/FvXGReCeIGyY-Data-Science-Instructor-Harvest-Educational-Center-Dakahlia-Egypt","Harvest Educational Center","Mansoura, Dakahlia, Egypt","14 days ago","Freelance / Project","['Experienced · 2+ Yrs of Exp · Training/Instructor · Data Science · Teaching']","Training/Instructor Data Science Teaching"
"Data Analyst Lead / Manager","https://wuzzuf.net/jobs/p/B5JeOhq2kb4Q-Data-Analyst-Lead-Manager-WUZZUF-Cairo-Egypt","WUZZUF","Maadi, Cairo, Egypt","2 days ago","Full Time","['Manager · 7 - 15 Yrs of Exp · IT/Software Development · Analyst/Research · Engineering - Telecom/Technology · Analysis · business · Computer Engineering · Computer Science · Data Analysis · Engineering · Microsoft Excel']","Training/Instructor Data Science Teaching"
"PG Data Analyst","https://wuzzuf.net/jobs/p/SCVwIoenLd2x-PG-Data-Analyst-Nile-University-Giza-Egypt","Nile University","Sheikh Zayed, Giza, Egypt","9 days ago","Full Time","['Experienced · 2 - 4 Yrs of Exp · Analyst/Research · Analysis · analytical · BI · business · Computer Science · Data · Data Analysis · English · Power BI']","Training/Instructor Data Science Teaching"
"Data Analyst","https://wuzzuf.net/jobs/p/QyS46Vr1VCX2-Data-Analyst-United-Elite-Company-Al-Ain-United-Arab-Emirates","United Elite Company","Al Ain, United Arab Emirates","10 days ago","Full Time","['Entry Level · 1 - 3 Yrs of Exp · Banking · Business Development · Customer Service/Support · Information Technology (IT) · business · Computer Science · Data Analyst · Statistics']","Training/Instructor Data Science Teaching"
"Data Analyst","https://wuzzuf.net/jobs/p/A6lmv3kBqvXu-Data-Analyst-waffarha-com-Cairo-Egypt","waffarha.com","Sheraton, Cairo, Egypt","17 days ago","Full Time","['Experienced · 2 - 3 Yrs of Exp · Accounting/Finance · IT/Software Development · Analyst/Research · Analysis · Computer Science · Python · SQL · Tableau · Finance Analysis · Software Analysis']","Training/Instructor Data Science Teaching"
"Senior Data Analyst","https://wuzzuf.net/jobs/p/BLrUSlxEbEKm-Senior-Data-Analyst-Al-Ahly-Medical-Company-Giza-Egypt","Al Ahly Medical Company","Giza, Giza, Egypt","25 days ago","Full Time","['Experienced · 3 - 5 Yrs of Exp · Analyst/Research · Analysis · analytical · Analytical Thinking · Computer Science · Data Analysis · Information Technology (IT) · excel']","Training/Instructor Data Science Teaching"
"economics and political science researcher (Experienced)","https://wuzzuf.net/jobs/p/jrIWIZdIbmGA-economics-and-political-science-researcher-Experienced-الناجح-للخدمات-والاستشارات-التعليمية-والطلابية-Cairo-Egypt","الناجح للخدمات والاستشارات التعليمية والطلابية","Mokattam, Cairo, Egypt","1 month ago","Full Time","['Experienced · 2 - 20 Yrs of Exp · Writing/Editorial · Analyst/Research · Education/Teaching · Analyst · Research Education · Teaching · Training · Instructor · Research · Research Analysis']","Training/Instructor Data Science Teaching"
"Data Analyst","https://wuzzuf.net/jobs/p/MSKFu1ytuKG0-Data-Analyst-Mobility-Pro-DMCC-Alexandria-Egypt","Mobility Pro DMCC","Azarita, Alexandria, Egypt","1 month ago","Full Time","['Experienced · 2 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Data Analysis · Data Science · Microsoft Excel · Power BI · SQL · Python · Statistics · Machine Learning']","Training/Instructor Data Science Teaching"
"Master Data Head","https://wuzzuf.net/jobs/p/aKyVcr2YeALn-Master-Data-Head-Arma-HSA-Cairo-Egypt","ArmaHSA","New Cairo, Cairo, Egypt","1 month ago","Full Time","['Experienced · 6 - 8 Yrs of Exp · IT/Software Development · Analyst/Research · Computer Science · Data · Data Management · Management · Master Data · SAP · Microsoft Office']","Training/Instructor Data Science Teaching"
"Data Analyst","https://wuzzuf.net/jobs/p/gwMXCIAsEVDU-Data-Analyst-Cairo-Egypt","Confidential","Heliopolis, Cairo, Egypt","5 hours ago","Full Time","['Experienced · 3 - 5 Yrs of Exp · IT/Software Development · Analyst/Research · Analysis · Data Analysis · Statistics · business']","Training/Instructor Data Science Teaching"
"Sales Data Analyst","https://wuzzuf.net/jobs/p/uUVolSnUtyNh-Sales-Data-Analyst-Koning-Food-Industries-Cairo-Egypt","Koning Food Industries","Cairo, Egypt","7 days ago","Full Time","['Experienced · 5 - 10 Yrs of Exp · Analyst/Research · Sales/Retail · Analysis · analytical · Data Analysis · Statistics · Sales · Data Analyst · business · Analyst']","Training/Instructor Data Science Teaching"
"Senior Java Developer","https://wuzzuf.net/jobs/p/WOMMMP4kDzB9-Senior-Java-Developer-Informatique-Education-Cairo-Egypt","Informatique Education","Cairo, Egypt","7 days ago","Full Time","['Experienced · 5 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Engineering · Information Technology (IT) · Engineering · Software Engineering · Computer Science · Software Development · Java · Spring']","Training/Instructor Data Science Teaching"
"Network Security Specialist","https://wuzzuf.net/jobs/p/ItjFFbelfxoW-Network-Security-Specialist-Virtual-Vision-V2-Cairo-Egypt","Virtual Vision (V2)","Nasr City, Cairo, Egypt","4 days ago","Full Time","['Experienced · 5+ Yrs of Exp · IT/Software Development · firewalls · DLP · Security · Sophos Firewall · Forcepoint · Checkpoint · Ivanti · Netowrk Security · VPN']","Training/Instructor Data Science Teaching"
"E-mail & Chat Account (Etisalat UAE) , B2 English speakers, Maadi","https://wuzzuf.net/jobs/p/auo58aagyYFI-E-mail-Chat-Account-Etisalat-UAE-B2-English-speakers-Maadi-Etisalat-Egypt-Cairo-Egypt","Etisalat Egypt","Maadi, Cairo, Egypt","2 days ago","Full Time","['Entry Level · Administration · Customer Service/Support · Operations/Management · Computer Skills · chat · Customer Care · Customer Service · Customer Support · Mail · English']","Training/Instructor Data Science Teaching"
"Etisalat UAE English Account (B1+) , Customer Service Representative , Maadi","https://wuzzuf.net/jobs/p/utZsnpox3jro-Etisalat-UAE-English-Account-B1-Customer-Service-Representative-Maadi-Etisalat-Egypt-Cairo-Egypt","Etisalat Egypt","Maadi, Cairo, Egypt","2 days ago","Full Time","['Entry Level · Administration · Customer Service/Support · Operations/Management · Computer Skills · chat · Customer Care · Customer Service · Customer Support · Mail · English']","Training/Instructor Data Science Teaching"
